"eligibleTitle","oscarsYear","isAdult","startYear","runtimeMinutes","winner","id"
"The Wistful Widow of Wagon Gap","1947","0","1947","78","0","m0619"
"The Years Between","1947","0","1946","88","0","m0620"
"A Foreign Affair","1948","0","1948","116","0","m0621"
"A Song Is Born","1948","0","1948","113","0","m0622"
"Abbott and Costello Meet Frankenstein","1948","0","1948","83","0","m0623"
"Anna Karenina","1948","0","1948","139","0","m0624"
"Beauty and the Beast","1948","0","1946","96","0","m0625"
"Fort Apache","1948","0","1948","128","0","m0626"
"Hamlet","1948","0","1948","154","2","m0627"
"He Walked by Night","1948","0","1948","79","0","m0628"
"I Remember Mama","1948","0","1948","134","0","m0629"
"Johnny Belinda","1948","0","1948","102","1","m0630"
"Julia Misbehaves","1948","0","1948","99","0","m0631"
"Jungle Goddess","1948","0","1948","62","0","m0632"
"Key Largo","1948","0","1948","100","0","m0633"
"Mr. Blandings Builds His Dream House","1948","0","1948","94","0","m0634"
"Mr. Peabody and the Mermaid","1948","0","1948","89","0","m0635"
"One Touch of Venus","1948","0","1948","82","0","m0636"
"Portrait of Jenny","1948","","","","0","m0637"
"Red River","1948","0","1948","133","0","m0638"
"Road House","1948","0","1948","95","0","m0639"
"Rope","1948","0","1948","80","0","m0640"
"That Lady in Ermine","1948","0","1948","89","0","m0641"
"The Barber of Seville","1948","0","1947","90","0","m0642"
"The Lady from Shanghai","1948","0","1947","87","0","m0643"
"The Naked City","1948","0","1948","96","0","m0645"
"The Pearl","1948","0","1947","85","0","m0646"
"The Red Shoes","1948","0","1948","134","1","m0647"
"The Snake Pit","1948","0","1948","108","1","m0649"
"The Three Musketeers","1948","0","1948","125","0","m0650"
"The Treasure of the Sierra Madre","1948","","","","1","m0652"
"The Woman in White","1948","0","1948","109","0","m0653"
"Two Guys from Texas","1948","0","1948","86","0","m0654"
"Unfaithfully Yours","1948","0","1948","105","0","m0655"
"3 Godfathers","1949","0","1948","106","0","m0656"
"A Letter to Three Wives","1949","0","1949","103","1","m0657"
"Act of Violence","1949","0","1949","82","0","m0658"
"All the King’s Men","1949","0","1949","110","2","m0659"
"Battleground","1949","0","1949","118","1","m0660"
"Beyond the Forest","1949","0","1949","97","0","m0661"
"D. O. A.","1949","0","1949","83","0","m0662"
